Plate,Time,Plate_replicate,Well,Well_replicate,Type,Abs
P_12345,15,B,B6,A,Blank,0.061359
P_12345,15,B,C6,A,Blank,0.075496
P_12345,15,B,D6,A,Blank,0.10177
P_12345,15,B,E6,A,Blank,0.058977
P_12345,15,B,F6,A,Negative,0.085684
P_12345,15,B,G6,A,Positive,2.2126
P_12345,15,B,H6,A,Positive,2.4491
P_12345,15,B,B12,B,Blank,0.084176
P_12345,15,B,C12,B,Blank,0.080454
P_12345,15,B,D12,B,Blank,0.064584
P_12345,15,B,E12,B,Blank,0.071865
P_12345,15,B,F12,B,Negative,0.097261
P_12345,15,B,G12,B,Positive,2.3209
P_12345,15,B,H12,B,Positive,2.3527
P_12345,15,C,A1,A,Unknown,1.6413
P_12345,15,C,A2,A,Unknown,0.73041
P_12345,15,C,A3,A,Unknown,0.6144
P_12345,15,C,A4,A,Unknown,0.3512
P_12345,15,C,A5,A,Unknown,0.50149
P_12345,15,C,A6,A,Blank,0.094772
P_12345,15,C,A7,B,Unknown,1.7631
P_12345,15,C,A8,B,Unknown,1.0858
P_12345,15,C,A9,B,Unknown,0.77216
P_12345,15,C,A10,B,Unknown,0.4518
P_12345,15,C,A11,B,Unknown,0.659
P_12345,15,C,A12,A,Blank,0.10998
P_12345,15,C,B6,A,Blank,0.08478
P_12345,15,C,C6,A,Blank,0.057796
P_12345,15,C,D6,A,Blank,0.067056
P_12345,15,C,E6,A,Blank,0.087804
P_12345,15,C,F6,A,Negative,0.096946
P_12345,15,C,G6,A,Positive,2.1342
P_12345,15,C,H6,A,Positive,2.3404
P_12345,15,C,B12,B,Blank,0.10899
P_12345,15,C,C12,B,Blank,0.11113
P_12345,15,C,D12,B,Blank,0.12196
P_12345,15,C,E12,B,Blank,0.11449
P_12345,15,C,F12,B,Negative,0.13133
P_12345,15,C,G12,B,Positive,1.795
P_12345,15,C,H12,B,Positive,2.0884
P_12345,15,D,A1,A,Unknown,2.5985
P_12345,15,D,A2,A,Unknown,1.8566
P_12345,15,D,A3,A,Unknown,1.2735
P_12345,15,D,A4,A,Unknown,0.56706
P_12345,15,D,A5,A,Unknown,0.70394
P_12345,15,D,A6,A,Blank,0.11215
P_12345,15,D,A7,B,Unknown,2.3282
P_12345,15,D,A8,B,Unknown,1.4795
P_12345,15,D,A9,B,Unknown,0.8394
P_12345,15,D,A10,B,Unknown,0.48089
P_12345,15,D,A11,B,Unknown,0.94207
P_12345,15,D,A12,A,Blank,0.13998
P_12345,15,D,B6,A,Blank,0.084686
P_12345,15,D,C6,A,Blank,0.084611
P_12345,15,D,D6,A,Blank,0.067725
P_12345,15,D,E6,A,Blank,0.069174
P_12345,15,D,F6,A,Negative,0.1206
P_12345,15,D,G6,A,Positive,2.5944
P_12345,15,D,H6,A,Positive,2.5236
P_12345,15,D,B12,B,Blank,0.095965
P_12345,15,D,C12,B,Blank,0.090899
P_12345,15,D,D12,B,Blank,0.078827
P_12345,15,D,E12,B,Blank,0.07743
P_12345,15,D,F12,B,Negative,0.10943
P_12345,15,D,G12,B,Positive,1.9941
